timestamp,fear_greed_index
1717891200000,75
1717977600000,72
1718064000000,74
1718150400000,72
1718236800000,70
1718323200000,74
1718409600000,74
1718496000000,71
1718582400000,71
1718668800000,74
1718755200000,64
1718841600000,60
1718928000000,63
1719014400000,53
1719100800000,55
1719187200000,51
1719273600000,30
1719360000000,46
1719446400000,40
1719532800000,47
1719619200000,30
1719705600000,47
1719792000000,53
1719878400000,51
1719964800000,50
1720051200000,44
1720137600000,29
1720224000000,26
1720310400000,29
1720396800000,28
1720483200000,27
1720569600000,28
1720656000000,29
1720742400000,25
1720828800000,25
1720915200000,33
1721001600000,52
1721088000000,65
1721174400000,69
1721260800000,61
1721347200000,60
1721433600000,74
1721520000000,74
1721606400000,70
1721692800000,71
1721779200000,69
1721865600000,68
1721952000000,68
1722038400000,72
1722124800000,71
1722211200000,74
1722297600000,67
1722384000000,61
1722470400000,52
1722556800000,57
1722643200000,37
1722729600000,34
1722816000000,26
1722902400000,17
1722988800000,29
1723075200000,20
1723161600000,48
1723248000000,40
1723334400000,39
1723420800000,25
1723507200000,31
1723593600000,30
1723680000000,29
1723766400000,27
1723852800000,25
1723939200000,31
1724025600000,28
1724112000000,30
1724198400000,26
1724284800000,39
1724371200000,34
1724457600000,56
1724544000000,54
1724630400000,55
1724716800000,48
1724803200000,30
1724889600000,29
1724976000000,34
1725062400000,29
1725148800000,26
1725235200000,26
1725321600000,26
1725408000000,27
1725494400000,29
1725580800000,22
1725667200000,23
1725753600000,29
1725840000000,26
1725926400000,33
1726012800000,37
1726099200000,31
1726185600000,32
1726272000000,50
1726358400000,51
1726444800000,39
1726531200000,33
1726617600000,45
1726704000000,49
1726790400000,54
1726876800000,54
1726963200000,52
1727049600000,50
1727136000000,54
1727222400000,59
1727308800000,50
1727395200000,61
1727481600000,64
1727568000000,63
1727654400000,61
1727740800000,50
1727827200000,42
1727913600000,37
1728000000000,41
1728086400000,49
1728172800000,50
1728259200000,50
1728345600000,49
1728432000000,49
1728518400000,39
1728604800000,32
1728691200000,49
1728777600000,50
1728864000000,48
1728950400000,65
1729036800000,73
1729123200000,71
1729209600000,73
1729296000000,72
1729382400000,73
1729468800000,72
1729555200000,70
1729641600000,71
1729728000000,69
1729814400000,72
1729987200000,74
1730073600000,72
1730160000000,72
1730246400000,77
1730332800000,77
1730419200000,75
1730505600000,72
1730592000000,74
1730678400000,70
1730764800000,70
1730851200000,70
1730937600000,77
1731024000000,75
1731110400000,75
1731196800000,78
1731283200000,76
1731369600000,80
1731456000000,84
1731542400000,88
1731628800000,80
1731715200000,86
1731801600000,90
1731888000000,83
1731974400000,90
1732060800000,83
1732147200000,82
1732233600000,94
1732320000000,93
1732406400000,80
1732492800000,82
1732579200000,79
1732665600000,75
1732752000000,77
1732838400000,78
1732924800000,84
1733011200000,81
1733097600000,80
1733184000000,76
1733270400000,78
1733356800000,84
1733443200000,72
1733529600000,75
1733616000000,79
1733702400000,78
1733788800000,78
1733875200000,74
1733961600000,83
1734048000000,76
1734134400000,83
1734220800000,80
1734307200000,83
1734393600000,87
1734480000000,81
1734566400000,75
1734652800000,74
1734739200000,73
1734825600000,73
1734912000000,70
1734998400000,73
1735084800000,73
1735171200000,79
1735257600000,74
1735344000000,72
1735430400000,73
1735516800000,65
1735603200000,64
1735689600000,66
1735776000000,70
1735862400000,74
1735948800000,73
1736035200000,72
1736121600000,76
1736208000000,78
1736294400000,70
1736380800000,69
1736467200000,50
1736553600000,69
1736640000000,62
1736726400000,61
1736812800000,63
1736899200000,70
1736985600000,75
1737072000000,75
1737158400000,77
1737244800000,77
1737331200000,76
1737417600000,76
1737504000000,84
1737590400000,75
1737676800000,75
1737763200000,75
1737849600000,73
1737936000000,71
1738022400000,72
1738108800000,72
1738195200000,70
1738281600000,76
1738368000000,68
1738454400000,60
1738540800000,44
1738627200000,72
1738713600000,54
1738800000000,49
1738886400000,44
1738972800000,44
1739059200000,46
1739145600000,43
1739232000000,47
1739318400000,46
1739404800000,50
1739491200000,48
1739577600000,50
1739664000000,54
1739750400000,51
1739836800000,47
1739923200000,44
1740009600000,49
1740096000000,55
1740182400000,49
1740268800000,50
1740355200000,49
1740441600000,25
1740528000000,21
1740614400000,10
1740700800000,16
1740787200000,20
1740873600000,26
1740960000000,33
1741046400000,15
1741132800000,20
1741219200000,25
1741305600000,34
1741392000000,28
1741478400000,27
1741564800000,20
1741651200000,24
1741737600000,34
1741824000000,45
1741910400000,27
1741996800000,46
1742083200000,30
1742169600000,32
1742256000000,34
1742342400000,32
1742428800000,49
1742515200000,31
1742601600000,32
1742688000000,30
1742774400000,45
1742860800000,46
1742947200000,47
1743033600000,40
1743120000000,44
1743206400000,26
1743292800000,32
1743379200000,34
1743465600000,34
1743552000000,44
1743638400000,25
1743724800000,28
1743811200000,30
1743897600000,34
1743984000000,23
1744070400000,24
1744156800000,18
1744243200000,39
1744329600000,25
1744416000000,43
1744502400000,45
1744588800000,31
1744675200000,38
1744761600000,29
1744848000000,30
1744934400000,33
1745020800000,32
1745107200000,37
1745193600000,39
1745280000000,47
1745366400000,72
1745452800000,63
1745539200000,60
1745625600000,65
1745712000000,61
1745798400000,54
1745884800000,60
1745971200000,56
1746057600000,53
1746144000000,67
1746230400000,65
1746316800000,64
1746403200000,52
1746489600000,59
1746576000000,67
1746662400000,65
1746748800000,73
1746835200000,70
1746921600000,70
1747008000000,70
1747094400000,70
1747180800000,73
1747267200000,70
1747353600000,71
1747440000000,74
1747526400000,74
1747612800000,74
1747699200000,71
1747785600000,70
1747872000000,72
1747958400000,78
1748044800000,66
1748131200000,74
1748217600000,73
1748304000000,74
1748390400000,71
1748476800000,74
1748563200000,60
1748649600000,50
1748736000000,56
1748822400000,64
1748908800000,64
1748995200000,62
1749081600000,57
1749168000000,45
1749254400000,52
1749340800000,62
1749427200000,62
1749513600000,71
1749600000000,72
1749686400000,71
1749772800000,61
1749859200000,63
1749945600000,60
1750032000000,61
1750118400000,68
1750204800000,52
1750291200000,57
1750377600000,54
1750464000000,49
1750550400000,42
1750636800000,47
1750723200000,65
1750809600000,66
1750896000000,74
1750982400000,65
1751068800000,65
1751155200000,68
1751241600000,66
1751328000000,64
1751414400000,63
1751500800000,73
1751587200000,73
1751673600000,67
1751760000000,66
1751846400000,73
1751932800000,65
1752019200000,66
1752105600000,71
1752192000000,71
1752278400000,79
1752364800000,74
1752451200000,74
1752537600000,73
1752624000000,70
1752710400000,74
1752796800000,73
1752883200000,74
1752969600000,72
1753056000000,71
1753142400000,72
1753228800000,74
1753315200000,71
1753401600000,70
1753488000000,72
1753574400000,73
1753660800000,75
1753747200000,73
1753833600000,74
1753920000000,72
1754006400000,65
1754092800000,55
1754179200000,53
1754265600000,64
1754352000000,60
1754438400000,54
1754524800000,62
1754611200000,74
1754697600000,67
1754784000000,69
1754870400000,70
1754956800000,68
1755043200000,73
1755129600000,75
1755216000000,60
1755302400000,56
1755388800000,64
1755475200000,60
1755561600000,56
1755648000000,44
1755734400000,50
1755820800000,50
1755907200000,60
1755993600000,53
1756080000000,47
1756166400000,48
1756252800000,51
1756339200000,48
1756425600000,50
1756512000000,39
1756598400000,48
1756684800000,46
1756771200000,49
1756857600000,55
1756944000000,51
1757030400000,48
1757116800000,48
1757203200000,44
1757289600000,51
1757376000000,48
1757462400000,49
1757548800000,54
1757635200000,57
1757721600000,52
1757808000000,55
1757894400000,53
1757980800000,52
1758067200000,53
1758153600000,52
1758240000000,53
1758326400000,48
1758412800000,49
1758499200000,45
1758585600000,43
1758672000000,44
1758758400000,44
1758844800000,28
1758931200000,33
1759017600000,37
1759104000000,50
1759190400000,50
1759276800000,49
1759363200000,64
1759449600000,63
1759536000000,71
1759622400000,74
1759708800000,71
1759795200000,70
1759881600000,60
1759968000000,70
1760054400000,64
1760140800000,27
1760227200000,24
1760313600000,38
1760400000000,38
1760486400000,34
1760572800000,28
1760659200000,22
1760745600000,23
1760832000000,29
1760918400000,29
1761004800000,34
1761091200000,25
1761177600000,27
1761264000000,30
1761350400000,37
1761436800000,40
1761523200000,51
1761609600000,50
1761696000000,51
1761782400000,34
1761868800000,29
1761955200000,33
1762041600000,37
1762128000000,42
1762214400000,21
1762300800000,23
1762387200000,27
1762473600000,24
1762560000000,20
1762646400000,22
1762732800000,29
1762819200000,26
1762905600000,24
1762992000000,15
1763078400000,16
1763164800000,10
1763251200000,10
1763337600000,14
1763424000000,11
1763510400000,15
1763596800000,11
1763683200000,14
1763769600000,11
1763856000000,13
1763942400000,19
1764028800000,20
1764115200000,15
1764201600000,22
1764288000000,25
1764374400000,28
1764460800000,28
1764547200000,24
1764633600000,23
1764720000000,28
1764806400000,26
1764892800000,28
1764979200000,23
1765065600000,20
1765152000000,20
1765238400000,22
1765324800000,26
1765411200000,29
1765497600000,29
1765584000000,23
1765670400000,21
1765756800000,16
1765843200000,11
1765929600000,16
1766016000000,17
1766102400000,16
1766188800000,20
1766275200000,20
1766361600000,25
1766448000000,24
1766534400000,24
1766620800000,23
1766707200000,20
1766793600000,23
1766880000000,24
1766966400000,24
1767052800000,23
1767139200000,21
1767225600000,20
1767312000000,28
1767398400000,29
1767484800000,25
1767571200000,26
1767657600000,44
1767744000000,42
1767830400000,28
1767916800000,27
1768003200000,25
1768089600000,29
1768176000000,27
1768262400000,26
1768348800000,48
1768435200000,61
