datetime,open,high,low,close,volume,turnover
2026-01-15 03:00:00,96900.0,96948.3,95714.3,96372.0,13028.354,1254731758.4
2026-01-15 09:00:00,96372.0,97174.5,96105.6,96530.9,10605.858,1025045976.9563
2026-01-15 15:00:00,96530.9,97113.1,95347.7,96563.4,28729.723,2766139948.9413
2026-01-15 21:00:00,96563.4,96578.0,95071.8,95559.9,15208.029,1453476452.9674
2026-01-16 03:00:00,95559.9,95818.2,95072.9,95616.1,8105.453,773616061.4272
2026-01-16 09:00:00,95616.1,95819.0,95201.6,95377.5,6820.004,651608515.8657
2026-01-16 15:00:00,95377.5,95767.4,94241.3,95056.8,23790.853,2257542924.4151
2026-01-16 21:00:00,95056.8,95557.6,94629.7,95504.9,8178.813,778793286.2796
2026-01-17 03:00:00,95504.9,95553.6,95139.4,95267.4,2764.837,263555936.1463
2026-01-17 09:00:00,95267.4,95300.8,94967.9,95269.0,3055.898,290758223.2202
2026-01-17 15:00:00,95269.0,95653.3,95140.8,95323.3,5467.08,521384643.5817
2026-01-17 21:00:00,95323.3,95425.6,94970.1,95103.0,3334.512,317425694.7202
2026-01-18 03:00:00,95103.0,95220.0,94816.4,95140.6,4341.017,412546232.0614
2026-01-18 09:00:00,95140.6,95269.0,94973.9,95137.8,2836.484,269780773.0707
2026-01-18 15:00:00,95137.8,95339.9,94840.9,95212.3,5034.522,478635032.8592
2026-01-18 21:00:00,95212.3,95490.5,93545.0,93624.6,14500.993,1370659048.4389
2026-01-19 03:00:00,93624.6,93624.6,91800.2,92470.4,27824.068,2576461362.5539
2026-01-19 09:00:00,92470.4,93314.0,92340.1,93144.7,9272.641,861519561.0682
2026-01-19 15:00:00,93144.7,93377.0,92648.3,93186.1,9599.77,892819192.4582
2026-01-19 21:00:00,93186.1,93299.9,92111.2,92584.3,9346.869,866630776.5806
2026-01-20 03:00:00,92584.3,92847.1,91235.8,91587.9,17135.216,1576875331.6378
2026-01-20 09:00:00,91587.9,91590.0,90610.1,91177.3,17222.758,1567853389.1336
2026-01-20 15:00:00,91177.3,91339.0,89374.4,89730.3,34735.119,3139941069.1013
2026-01-20 21:00:00,89730.3,89914.7,87773.1,88379.9,24889.398,2213045991.3966
2026-01-21 03:00:00,88379.9,90099.6,88202.2,89917.2,11506.15,1026348404.0498
2026-01-21 09:00:00,89917.2,89917.2,88642.2,88750.9,10176.873,908404234.2004
2026-01-21 15:00:00,88750.9,90542.2,87212.0,87882.4,47829.833,4252918338.3325
2026-01-21 21:00:00,87882.4,90440.3,87536.8,89410.1,29471.218,2638914985.2104
2026-01-22 03:00:00,89410.1,90337.9,89410.0,89983.8,9259.251,832736390.9065
2026-01-22 09:00:00,89983.8,90174.1,89701.9,89895.0,6667.964,599821296.4
2026-01-22 15:00:00,89895.0,90296.8,88462.3,89500.0,28696.655,2560866578.9467
2026-01-22 21:00:00,89500.0,89909.2,89062.4,89511.7,11391.323,1019785045.9511
2026-01-23 03:00:00,89511.7,90062.7,89399.0,89566.1,5564.454,499283466.9951
2026-01-23 09:00:00,89566.1,89761.6,88806.8,89168.3,9219.577,822720967.8326
2026-01-23 15:00:00,89168.3,91180.0,88500.0,90557.5,28834.675,2588403875.0868
2026-01-23 21:00:00,90557.5,90993.0,89162.0,89551.7,13561.616,1219816389.8791
2026-01-24 03:00:00,89551.7,89883.4,89375.0,89744.3,2491.726,223372269.3665
2026-01-24 09:00:00,89744.3,89744.3,89513.8,89545.3,2086.291,186922136.5794
2026-01-24 15:00:00,89545.3,89550.0,89105.7,89350.0,5860.112,523384421.4763
2026-01-24 21:00:00,89350.0,89455.7,89156.3,89177.1,2085.215,186257774.1304
2026-01-25 03:00:00,89177.1,89271.8,88800.1,88958.4,3601.177,320586852.4603
2026-01-25 09:00:00,88958.4,88958.5,88100.0,88522.8,8158.72,722069425.1924
2026-01-25 15:00:00,88522.8,88937.4,87477.0,87835.2,16065.547,1416373116.5616
2026-01-25 21:00:00,87835.2,87943.2,86031.4,86625.6,31005.172,2688440174.6401
2026-01-26 03:00:00,86625.6,87929.7,86446.8,87774.3,13966.22,1219959803.5891
2026-01-26 09:00:00,87774.3,88355.0,87555.0,87816.0,8780.477,771618603.1708
2026-01-26 15:00:00,87816.0,88843.9,86923.3,87658.7,25141.987,2208454708.7171
2026-01-26 21:00:00,87658.7,88631.2,87489.5,88305.1,12438.422,1095466549.5094
2026-01-27 03:00:00,88305.1,88977.7,88150.0,88418.1,7295.57,646159135.0068
2026-01-27 09:00:00,88418.1,88525.3,87688.1,87937.0,7977.502,702639076.0549
2026-01-27 15:00:00,87937.0,88786.4,87234.0,87491.7,23853.095,2098801132.5989
2026-01-27 21:00:00,87491.7,89499.8,87400.0,89202.3,20306.329,1803727808.799
2026-01-28 03:00:00,89202.3,89460.4,88800.0,89050.0,6798.359,605746561.1617
2026-01-28 09:00:00,89050.0,90132.0,88815.6,90039.7,12505.646,1118528932.7136
2026-01-28 15:00:00,90039.7,90597.0,88836.3,90141.7,27413.219,2460432925.8593
2026-01-28 21:00:00,90141.7,90149.0,88813.0,89261.7,21063.639,1883567144.6884
2026-01-29 03:00:00,89261.7,89312.7,87650.0,88146.7,15104.253,1334011844.8391
2026-01-29 09:00:00,88146.7,88458.8,87690.6,87786.0,9921.849,873449783.7637
2026-01-29 15:00:00,87786.0,88142.7,83941.1,84218.2,53546.809,4583316414.8841
2026-01-29 21:00:00,84218.2,84703.2,83311.0,84599.8,24665.233,2071976755.2845
2026-01-30 03:00:00,84599.8,84692.3,81000.0,82859.6,39852.682,3286031566.2941
2026-01-30 09:00:00,82859.6,83263.5,82009.8,83103.7,18449.034,1523942103.0862
2026-01-30 15:00:00,83103.7,83771.2,82316.3,82904.0,27946.127,2319962984.7614
2026-01-30 21:00:00,82904.0,84635.7,81832.0,84222.5,30871.714,2581689480.8391
2026-01-31 03:00:00,84222.5,84254.3,83778.4,83962.6,5453.488,458242999.6561
2026-01-31 09:00:00,83962.6,84006.1,82530.0,82978.6,10447.589,869112374.3049
2026-01-31 15:00:00,82978.6,83113.3,78080.5,78848.1,66406.521,5349544615.9589
2026-01-31 21:00:00,78848.1,79239.7,75689.6,78704.4,58276.563,4533858615.9284
2026-02-01 03:00:00,78704.4,79388.5,78252.0,78572.6,11988.723,944257732.3388
2026-02-01 09:00:00,78572.6,79187.0,77836.9,78715.1,12937.448,1015485400.4998
2026-02-01 15:00:00,78715.1,78734.5,76725.4,77719.0,27151.114,2109192748.891
2026-02-01 21:00:00,77719.0,78409.1,75663.2,76938.5,33826.283,2605275886.0242
2026-02-02 03:00:00,76938.5,78177.9,74567.3,75446.1,42174.742,3208521544.9601
2026-02-02 09:00:00,75446.1,77939.0,74902.0,77727.2,24355.56,1869168352.4689
2026-02-02 15:00:00,77727.2,79388.0,77492.3,78936.9,34505.725,2707756574.731
2026-02-02 21:00:00,78936.9,78951.1,77850.9,78693.9,11420.279,896081941.4381
2026-02-03 03:00:00,78693.9,79177.7,77600.1,78200.6,13048.751,1024052288.2371
2026-02-03 09:00:00,78200.6,79040.0,77870.9,78034.7,12599.404,987580877.4378
2026-02-03 15:00:00,78034.7,78417.2,74832.5,74874.2,44755.047,3444546068.2551
2026-02-03 21:00:00,74874.2,76913.8,72889.7,75723.2,65533.95,4907160441.901
2026-02-04 03:00:00,75723.2,76991.2,75414.0,76257.3,15209.774,1161108369.5098
2026-02-04 09:00:00,76257.3,76759.4,75635.2,75998.9,13627.759,1038573224.3184
2026-02-04 15:00:00,75998.9,76244.9,72090.4,72537.6,58350.133,4323284703.9711
2026-02-04 21:00:00,72537.6,74136.0,71805.2,73130.3,41735.079,3051010904.1397
2026-02-05 03:00:00,73130.3,73312.1,70085.7,70693.8,43175.116,3091020313.8375
2026-02-05 09:00:00,70693.8,71936.3,69865.8,70287.8,34339.778,2434019083.3998
2026-02-05 15:00:00,70287.8,70866.3,66100.3,66151.9,101435.56,6920763638.3894
2026-02-05 21:00:00,66151.9,66614.0,62250.0,62872.7,107055.561,6879825883.9223
2026-02-06 03:00:00,62872.7,66799.9,59888.0,66364.8,93176.274,5879528619.0259
2026-02-06 09:00:00,66364.8,66757.2,64434.1,66588.8,37005.859,2422531977.591
2026-02-06 15:00:00,66588.8,71479.8,66080.0,70710.1,64724.126,4448356310.2502
2026-02-06 21:00:00,70710.1,71719.9,69322.0,70532.3,36193.964,2545614331.5737
2026-02-07 03:00:00,70532.3,71653.2,69676.2,70129.8,20603.776,1452078346.8783
2026-02-07 09:00:00,70129.8,70289.4,67307.3,67946.2,38178.18,2612137718.2249
2026-02-07 15:00:00,67946.2,69972.1,67880.3,69160.1,43363.377,2999424518.4764
2026-02-07 21:00:00,69160.1,69691.0,68742.0,69248.2,9463.058,655970694.0681
2026-02-08 03:00:00,69248.2,69675.1,68839.0,69190.2,6129.773,424392581.5985
2026-02-08 09:00:00,69190.2,71184.0,69046.7,70953.3,20063.177,1408924167.4076
2026-02-08 15:00:00,70953.3,71524.7,70195.5,70756.6,17457.014,1238922563.7614
2026-02-08 21:00:00,70756.6,72254.1,69945.0,70289.8,20062.956,1424677566.2601
2026-02-09 03:00:00,70289.8,71418.4,70018.0,71005.8,13312.018,941170747.9771
2026-02-09 09:00:00,71005.8,71005.8,68384.0,68900.0,24564.329,1707644961.4864
2026-02-09 15:00:00,68900.0,70976.9,68207.2,70582.1,32643.561,2268692771.0941
2026-02-09 21:00:00,70582.1,71119.9,69780.7,70110.8,16122.534,1136427565.1762
2026-02-10 03:00:00,70110.8,70508.8,69149.3,69413.2,14439.445,1007595950.3558
2026-02-10 09:00:00,69413.2,69465.2,68365.0,68486.5,14953.71,1031026386.359
2026-02-10 15:00:00,68486.5,69982.2,67869.0,69894.2,32982.583,2273839168.0458
2026-02-10 21:00:00,69894.2,69911.7,68315.0,68804.3,13194.06,908672867.0483
2026-02-11 03:00:00,68804.3,69265.8,67321.0,67365.9,18805.385,1281877270.0118
2026-02-11 09:00:00,67365.9,67460.0,66306.8,67023.7,23373.487,1562654908.6435
2026-02-11 15:00:00,67023.7,68812.6,65705.0,66483.0,60060.688,4019715041.6299
2026-02-11 21:00:00,66483.0,68329.0,66108.4,67044.5,19354.897,1304031463.5798
2026-02-12 03:00:00,67044.5,68019.9,66626.7,67116.0,14179.834,955702401.6879
2026-02-12 09:00:00,67116.0,68271.4,66858.1,68049.0,13616.503,919143726.11
2026-02-12 15:00:00,68049.0,68396.0,65286.5,65369.2,46577.77,3112544685.8728
2026-02-12 21:00:00,65369.2,66459.2,65065.0,66244.8,23632.422,1551792303.7334
2026-02-13 03:00:00,66244.8,66793.4,65824.7,66145.1,11825.329,784886508.1179
2026-02-13 09:00:00,66145.1,67199.9,65972.5,67136.0,14105.997,939315489.6656
2026-02-13 15:00:00,67136.0,69450.0,66818.3,69005.5,46245.397,3151386601.9838
2026-02-13 21:00:00,69005.5,69381.4,68632.4,68819.2,12252.333,844949265.5656
2026-02-14 03:00:00,68819.2,69118.0,68720.7,68735.9,4353.669,299934207.1482
2026-02-14 09:00:00,68735.9,70550.0,68691.1,70470.4,15073.681,1051136965.0836
2026-02-14 15:00:00,70470.4,70507.0,69190.0,69711.5,18811.755,1310837654.0416
2026-02-14 21:00:00,69711.5,70240.0,69579.7,69790.1,6914.718,483252143.2979
2026-02-15 03:00:00,69790.1,70500.0,69200.0,70232.6,11963.646,835659000.0474
2026-02-15 09:00:00,70232.6,70937.0,70144.8,70265.9,10434.502,735429789.8977
2026-02-15 15:00:00,70265.9,70388.4,68158.4,68610.1,24114.875,1666599275.1037
2026-02-15 21:00:00,68610.1,69055.0,68051.7,68800.0,14035.101,961691890.287
2026-02-16 03:00:00,68800.0,69040.0,68108.8,68351.5,8289.822,568486161.3853
2026-02-16 09:00:00,68351.5,69029.2,68202.0,68777.0,8843.403,607139222.2509
2026-02-16 15:00:00,68777.0,70099.1,67243.6,67904.9,36271.646,2480083682.9975
2026-02-16 21:00:00,67904.9,68968.8,67778.4,68863.8,9925.136,678703499.0665
2026-02-17 03:00:00,68863.8,69228.5,67852.4,68209.0,10823.307,742165698.3748
2026-02-17 09:00:00,68209.0,68487.0,67650.0,67822.8,8640.519,588070482.3286
2026-02-17 15:00:00,67822.8,68340.2,66556.6,67208.0,40896.444,2757432127.624
2026-02-17 21:00:00,67208.0,68217.9,67092.0,67474.9,13007.151,881178277.9675
2026-02-18 03:00:00,67474.9,67914.2,66843.5,67604.7,8452.434,569625864.3737
2026-02-18 09:00:00,67604.7,68440.0,67028.5,67330.2,14504.403,983308429.0291
2026-02-18 15:00:00,67330.2,68326.7,66668.2,67152.6,26919.08,1812718974.4083
2026-02-18 21:00:00,67152.6,67204.4,65814.6,66426.0,19472.326,1292288545.0168
2026-02-19 03:00:00,66426.0,67060.0,66304.0,66849.0,8124.607,542270478.9465
2026-02-19 09:00:00,66849.0,67307.9,66436.0,66462.4,11032.618,738326791.9592
2026-02-19 15:00:00,66462.4,67042.2,65573.5,66341.7,32922.044,2181811778.362
2026-02-19 21:00:00,66341.7,67187.1,66216.3,66982.1,12862.552,860151958.1644
